Date,Open,High,Low,Close,Volume
2000-01-03,93.16477311979676,93.94041013283415,93.19457471362409,93.24530335585779,73928180.41428834
2000-01-04,90.64741487398159,91.7864005043084,91.32986939735463,91.67617370820564,91500228.27836907
2000-01-05,91.07229310008931,92.12371403845813,90.66067369219101,91.54565635197831,92137037.7486055
2000-01-06,90.0562253925773,91.52979998171834,90.60754949411685,90.7709984470958,98158671.81911696
2000-01-07,90.6548680082732,91.87224249037847,90.50748344420117,90.87398080218628,89266026.13647597
2000-01-10,90.68584051096187,89.88718691332225,89.40049388994275,89.82260164892233,121738289.0319781
2000-01-11,92.79704733272322,93.6928320327389,92.23651570899251,92.69586702884534,159114007.23975205
2000-01-12,90.70607207590069,91.2220836732603,90.76598380168056,90.94449301383453,104969197.06198998
2000-01-13,91.70947246106493,91.62705481877751,90.9001055402105,91.21078715637401,89010638.7710151
2000-01-14,90.49539031934393,91.26578446486597,89.56142910565131,90.39060873122253,114155814.66590276
2000-01-17,90.94557784212043,91.39397212161941,90.49278169741143,90.61578875651307,72440656.5123969
2000-01-18,90.22878749346847,90.70823540174736,89.41317308528023,90.24862887875,159795196.3162594
2000-01-19,91.37546212805431,91.81018025610413,91.59632536975239,91.61066720335063,115116151.46679905
2000-01-20,91.45281181033077,91.9381367438862,90.09805097130861,91.31155274993678,10515820.433512092
2000-01-21,89.64029831729474,91.59227735141913,89.99112208506207,90.05092193279704,156500462.5894808
2000-01-24,91.69301124349313,91.95125323057039,89.51561917721239,91.1843132632213,73697998.35294752
2000-01-25,91.55611850972345,92.39970130992216,90.55281287746304,91.9764245772309,67334101.769263
2000-01-26,91.68812538936696,92.14731073053866,91.30364756942153,91.7933501060219,116730460.43001884
2000-01-27,90.91681635338078,90.85192525946054,89.94601889952332,90.63166850969154,78479775.54611959
2000-01-28,89.4847407468369,91.73550538811256,89.75931850215942,90.53940311391055,100805186.51733942
2000-01-31,89.8956347926841,91.28004454207586,87.82740988419854,89.08241880709429,105925482.40200725
2000-02-01,91.33568125182455,91.49501283225428,90.9909914045715,91.10328063978481,97998308.85027301
2000-02-02,92.5931781298521,93.55269764904955,91.69429345214117,92.27717403689898,37585708.81586559
2000-02-03,90.02712052065397,91.0118794310919,90.05557206598088,90.13666991672086,55434616.98712905
2000-02-04,91.46840940136055,91.53246598064203,89.61748605134014,91.31920069964355,162072364.73232794
2000-02-07,90.61138395823919,91.08353217203889,90.38931953173329,90.70485211193015,99764159.48411614
2000-02-08,89.82953394202322,90.44465907810981,89.01733103367756,89.49379428022705,84493001.8258092
2000-02-09,91.46674189652661,91.76219381599827,91.03035877554231,91.22202867060335,64666576.48798508
2000-02-10,90.54987348056514,92.31049675262037,89.84966508189095,90.7432682147698,100387864.79137613
